"Year","Table","County","Birth Weight in Grams","Number of Live Births"
"2021","11a","Chautauqua","Total","1,253"
"2021","11a","Chautauqua","Unknown","40"
"2021","11a","Chautauqua","3500+","399"
"2021","11a","Chautauqua","3000-3499","488"
"2021","11a","Chautauqua","2500-2999","219"
"2021","11a","Chautauqua","2000-2499","68"
"2021","11a","Chautauqua","1500-1999","22"
"2021","11a","Chautauqua","1000-1499","12"
"2021","11a","Chemung","Unknown","0"
"2021","11a","Chemung","Total","821"
"2021","11a","Chemung","Under 1000","7"
"2021","11a","Chemung","1000-1499","8"
"2021","11a","Chemung","1500-1999","11"
"2021","11a","Chemung","2000-2499","37"
"2021","11a","Chemung","2500-2999","142"
"2021","11a","Chemung","3000-3499","311"
"2021","11a","Chemung","3500+","305"
"2021","11a","Chenango","Total","473"
"2021","11a","Chenango","Unknown","3"
"2021","11a","Chenango","3500+","211"
"2021","11a","Chenango","3000-3499","155"
"2021","11a","Chenango","2500-2999","74"
"2021","11a","Chenango","2000-2499","20"
"2021","11a","Chenango","1500-1999","4"
"2021","11a","Chenango","1000-1499","3"
